,Suburb,Region,Latitude,Longitude
0,Bardon,City of brisbane,-27.4593968,152.9803388
1,Bowen Hills,City of brisbane,-27.4466752,153.0402224
2,Brisbane CBD,City of brisbane,-27.466829,153.0273743
3,East Brisbane,City of brisbane,-27.4832497,153.0455745
4,Fortitude Valley,City of brisbane,-27.4562467,153.0358184
5,Herston,City of brisbane,-27.4467898,153.0227913
6,Highgate Hill,City of brisbane,-27.4876646,153.0175752
7,Kangaroo Point,City of brisbane,-27.4736234,153.0364287
8,Kelvin Grove,City of brisbane,-27.4494263,153.011342
9,New Farm,City of brisbane,-27.4654745,153.0461335
10,Newstead,City of brisbane,-27.4453279,153.0444763
11,Paddington,City of brisbane,-27.4604626,153.0019682
12,Petrie Terrace,City of brisbane,-27.4633447,153.0129803
13,Red Hill,City of brisbane,-27.4545228,153.0071405
14,South Brisbane,City of brisbane,-27.482134,153.0223507
15,Spring Hill,City of brisbane,-27.4614416,153.0257338
16,Teneriffe,City of brisbane,-27.4569762,153.0465176
17,West End,City of brisbane,-27.4804327,153.0128302
18,Woolloongabba,City of brisbane,-27.4853896,153.0364488
19,Albion,City of brisbane,-27.4303642,153.0421201
20,Alderley,City of brisbane,-27.4258161,153.002316
21,Ascot,City of brisbane,-27.4318955,153.0630132
22,Aspley,City of brisbane,-27.3628522,153.0164177
23,Bald Hills,City of brisbane,-27.3107173,153.0124269
24,Banyo,City of brisbane,-27.3760218,153.0771634
25,Boondall,City of brisbane,-27.3534749,153.0618597
26,Bracken Ridge,City of brisbane,-27.3189512,153.0390386
27,Bridgeman Downs,City of brisbane,-27.3550,152.9942
28,Brighton,City of brisbane,-27.2979603,153.0581895
29,Brisbane Airport (suburb),City of brisbane,-27.39333,153.11333
30,Carseldine,City of brisbane,-27.3481021,153.0226204
31,Chermside,City of brisbane,-27.3863441,153.0313687
32,Chermside West,City of brisbane,-27.3793434,153.0186899
33,Clayfield,City of brisbane,-27.4223848,153.050976
34,Deagon,City of brisbane,-27.3299349,153.0604953
35,Eagle Farm,City of brisbane,-27.4298168,153.0880672
36,Everton Park,City of brisbane,-27.4064443,152.9869559
37,Fitzgibbon,City of brisbane,-27.3382423,153.0333049
38,Gaythorne,City of brisbane,-27.4187691,152.980154
39,Geebung,City of brisbane,-27.3703832,153.0471643
40,Gordon Park,City of brisbane,-27.4162777,153.026166
41,Grange,City of brisbane,-27.4246675,153.0154574
42,Hamilton,City of brisbane,-27.4384043,153.0611639
43,Hendra,City of brisbane,-27.4182182,153.0720678
44,Kedron,City of brisbane,-27.4051171,153.0332677
45,Keperra,City of brisbane,-27.4093318,152.9588404
46,Lutwyche,City of brisbane,-27.4242082,153.030543
47,McDowall,City of brisbane,-27.3886299,152.9967591
48,Mitchelton,City of brisbane,-27.4120363,152.975009
49,Myrtletown,City of brisbane,-27.3902321,153.1384669
50,Newmarket,City of brisbane,-27.436618,153.0069688
51,Northgate,City of brisbane,-27.3908162,153.0693526
52,Nudgee,City of brisbane,-27.3652168,153.0900564
53,Nudgee Beach,City of brisbane,-27.3451285,153.1030225
54,Nundah,City of brisbane,-27.4012298,153.0603789
55,Pinkenba,City of brisbane,-27.4221287,153.1197445
56,Sandgate,City of brisbane,-27.3206626,153.0697564
57,Shorncliffe,City of brisbane,-27.3260995,153.08185
58,Stafford,City of brisbane,-27.4096212,153.0138783
59,Stafford Heights,City of brisbane,-27.3961056,153.0110337
60,Taigum,City of brisbane,-27.3416971,153.0483199
61,Virginia,City of brisbane,-27.3808493,153.0645392
62,Wavell Heights,City of brisbane,-27.3958794,153.048943
63,Wilston,City of brisbane,-27.4324051,153.013139
64,Windsor,City of brisbane,-27.4378754,153.0315133
65,Wooloowin,City of brisbane,-27.4194368,153.0412308
66,Zillmere,City of brisbane,-27.3587634,153.0376968
67,Acacia Ridge,City of brisbane,-27.5857312,153.025206
68,Algester,City of brisbane,-27.6109526,153.0315999
69,Annerley,City of brisbane,-27.5093469,153.0321211
70,Archerfield,City of brisbane,-27.569383799999997,153.00573238176182
71,Burbank,City of brisbane,-27.5583324,153.1588898
72,Calamvale,City of brisbane,-27.6169467,153.0495303
73,Coopers Plains,City of brisbane,-27.5691456,153.0337453
74,Darra,City of brisbane,-27.5667751,152.952776
75,Doolandella,City of brisbane,-27.6170218,152.982537
76,Drewvale,City of brisbane,-27.6499149,153.0551353
77,Durack,City of brisbane,-27.591662,152.985997
78,Dutton Park,City of brisbane,-27.4962402,153.0269023
79,Eight Mile Plains,City of brisbane,-27.5779184,153.092299
80,Ellen Grove,City of brisbane,-27.6184661,152.9488045
81,Fairfield,City of brisbane,-27.5076932,153.02402
82,Forest Lake,City of brisbane,-27.6228769,152.9702476
83,Greenslopes,City of brisbane,-27.5088321,153.0529626
84,Heathwood,City of brisbane,-27.6389382,152.9874053
85,Holland Park,City of brisbane,-27.520083,153.0729783
86,Holland Park West,City of brisbane,-27.528196,153.0643664
87,Inala,City of brisbane,-27.59854,152.9720075
88,Karawatha,City of brisbane,-27.6319156,153.08035374642904
89,Kuraby,City of brisbane,-27.6047543,153.0982186
90,Larapinta,City of brisbane,-27.640833,153.006393
91,MacGregor,City of brisbane,-27.5627054,153.072007
92,Mackenzie,City of brisbane,-27.543318,153.1248543
93,Mansfield,City of brisbane,-27.5314948,153.1015318
94,Moorooka,City of brisbane,-27.5357999,153.0201543
95,Mount Gravatt,City of brisbane,-27.542717,153.0728955
96,Mount Gravatt East,City of brisbane,-27.5326267,153.0830705
97,Nathan,City of brisbane,-27.548375,153.0474942
98,Pallara,City of brisbane,-27.620834,153.005005
99,Parkinson,City of brisbane,-27.6357372,153.0300028
100,Richlands,City of brisbane,-27.5949839,152.9538031
101,Robertson,City of brisbane,-27.5647285,153.0576815
102,Rochedale,City of brisbane,-27.5796021,153.1236062
103,Rocklea,City of brisbane,-27.5482033,153.0115871
104,Runcorn,City of brisbane,-27.5902743,153.0705615
105,Salisbury,City of brisbane,-27.5543181,153.0265175
106,Seventeen Mile Rocks,City of brisbane,-27.5495466,152.9579475
107,Sinnamon Park,City of brisbane,-27.5446662,152.947254
108,Stretton,City of brisbane,-27.6126833,153.068394
109,Sumner,City of brisbane,-27.5658793,152.9338149
110,Sunnybank,City of brisbane,-27.5752834,153.0557235
111,Sunnybank Hills,City of brisbane,-27.5991376,153.0486182
112,Tarragindi,City of brisbane,-27.5266462,153.0434187
113,Tennyson,City of brisbane,-27.5257026,153.0017299
114,Upper Mount Gravatt,City of brisbane,-27.5589562,153.0815491
115,Wacol,City of brisbane,-27.5936209,152.9283056
116,Willawong,City of brisbane,-27.5980978,153.005894
117,Wishart,City of brisbane,-27.5514355,153.1031592
118,Yeerongpilly,City of brisbane,-27.5239023,153.0137075
119,Yeronga,City of brisbane,-27.5168901,153.0143034
120,Balmoral,City of brisbane,-27.4559074,153.0664859
121,Belmont,City of brisbane,-27.484065049999998,153.12611811481716
122,Bulimba,City of brisbane,-27.4498447,153.0600915
123,Camp Hill,City of brisbane,-27.4942385,153.0771926
124,Cannon Hill,City of brisbane,-27.465377,153.0882595
125,Carina,City of brisbane,-27.4942526,153.0900278
126,Carina Heights,City of brisbane,-27.5014508,153.0966984
127,Carindale,City of brisbane,-27.5032764,153.1040678
128,Chandler,City of brisbane,-27.5095617,153.1579124
129,Coorparoo,City of brisbane,-27.4962028,153.0595973
130,Gumdale,City of brisbane,-27.4951986,153.1583601
131,Hawthorne,City of brisbane,-27.4623063,153.0598051
